size_sqft,bedrooms,bathrooms,levels,distance_to_city_km,has_pool,basement_finished_sqft,basement_unfinished_sqft,lot_size_sqft,land_size_acres,garage_capacity,sold_quickly
2833,4,3.5,2,18.9,0,651,942,5968,0.103,1,1
3653,6,5.0,1,11.5,0,1382,431,4433,0.162,2,0
2038,3,3.5,2,10.7,0,88,1053,2080,0.02,1,0
2728,4,3.0,1,7.0,0,286,560,6425,0.186,1,1
1720,3,2.4,2,12.4,0,484,191,2000,0.083,1,1
2806,4,3.2,1,0.5,0,292,574,7818,0.097,2,1
1967,2,1.2,1,11.1,0,419,692,3161,0.113,2,1
1795,3,2.5,1,7.5,0,493,328,5871,0.02,2,1
1532,2,1.3,2,10.8,0,410,293,2000,0.059,1,1
1692,3,2.0,2,1.4,0,529,410,4735,0.07,1,1
2054,3,2.5,1,9.1,0,0,0,4597,0.111,1,1
2855,4,4.0,1,22.5,0,0,0,9093,0.268,1,1
2006,2,1.9,1,13.3,0,850,445,2710,0.09,2,1
1836,2,1.5,3,4.2,0,0,0,7831,0.208,1,0
1944,3,2.0,1,8.8,0,774,567,6778,0.205,2,1
2928,4,3.5,1,12.9,0,735,652,4519,0.08,2,1
2799,4,3.9,2,0.5,0,1366,198,4435,0.129,1,1
2296,3,3.0,1,28.5,0,0,0,5316,0.129,1,0
3440,5,4.6,1,13.8,0,0,0,8406,0.169,2,1
2394,3,2.2,2,13.8,0,198,820,2846,0.081,2,1
2354,3,2.3,1,17.5,0,958,322,2259,0.02,2,0
2559,3,2.8,1,15.9,0,588,299,2000,0.075,1,0
1734,2,1.7,1,22.1,0,0,0,6526,0.082,2,0
3406,4,2.5,1,23.9,0,524,915,6771,0.224,2,0
2455,3,2.7,1,6.3,0,1074,162,2000,0.028,2,1
2743,3,2.8,2,0.5,0,1672,241,4926,0.136,2,1
2516,3,2.0,1,0.5,0,0,0,6668,0.131,2,1
2098,3,2.0,1,27.4,0,0,0,5001,0.077,1,0
1472,1,1.0,2,4.5,0,609,153,6730,0.15,2,0
4455,6,5.0,1,22.5,0,0,0,9315,0.292,2,0
2638,5,3.7,2,4.5,0,812,1017,4679,0.109,1,1
1535,2,1.6,1,21.1,0,536,535,3653,0.042,2,0
2732,3,2.0,2,21.0,0,938,890,8514,0.107,2,0
2616,3,2.4,2,13.6,0,255,1040,6550,0.154,1,1
3061,5,4.2,1,7.5,0,387,1626,5869,0.141,2,1
4357,6,5.0,1,20.1,0,525,1131,6610,0.11,2,1
2818,3,1.9,1,8.1,0,585,1212,5338,0.151,1,1
2482,3,2.5,1,22.9,0,558,800,2351,0.064,2,0
2457,4,3.6,2,7.9,0,0,0,5753,0.136,1,1
2064,3,2.8,1,21.7,0,526,373,4948,0.13,2,1
3020,4,4.4,2,7.2,0,1198,163,4057,0.033,2,1
1635,2,1.0,1,6.8,0,504,470,2000,0.058,1,1
3283,4,3.6,1,16.9,1,245,1287,8232,0.187,1,1
3719,5,4.0,1,12.1,0,0,0,7352,0.224,2,1
4688,6,4.4,1,16.5,0,0,0,10464,0.211,1,0
2006,2,1.8,3,31.5,0,265,345,2824,0.097,1,0
2465,3,3.1,2,5.5,0,847,854,3328,0.076,2,1
1605,2,1.2,1,9.6,0,0,0,2616,0.108,2,1
2721,3,2.5,2,13.0,0,599,490,3086,0.195,1,0
2301,3,2.4,1,4.6,0,0,0,3448,0.095,2,1
1392,2,1.6,3,0.5,0,757,36,4683,0.079,2,1
2314,3,2.8,3,5.6,0,236,738,3354,0.086,2,0
3472,5,4.6,1,17.2,0,0,0,10087,0.257,2,1
2001,3,2.6,1,7.0,0,371,789,5896,0.109,2,1
2548,3,3.0,2,7.1,0,743,425,6873,0.145,1,0
2857,4,3.3,1,15.4,0,248,1520,6401,0.129,2,0
3018,4,3.9,1,4.9,0,955,690,4613,0.18,2,1
865,1,1.0,1,18.4,0,114,479,2000,0.049,1,0
2850,4,4.2,2,25.5,0,397,589,3419,0.102,2,0
3132,4,3.8,1,14.0,0,903,266,6671,0.101,2,1
1625,2,1.2,2,15.1,0,501,440,8052,0.121,1,1
2790,4,2.3,1,7.0,1,864,352,6530,0.087,2,1
2955,3,2.4,1,14.0,0,942,1058,8913,0.216,2,0
2394,3,1.8,2,15.4,0,1118,409,4488,0.063,2,0
3119,4,3.5,1,3.1,0,0,0,5081,0.073,2,1
1923,2,2.1,1,5.3,0,612,733,5441,0.154,1,0
2929,4,3.5,1,6.3,0,1614,352,4872,0.161,1,1
3658,5,4.3,2,13.5,0,472,946,6734,0.122,1,1
2608,4,3.6,1,8.3,0,0,0,5410,0.02,2,1
2734,3,2.5,3,13.4,0,672,558,3319,0.02,2,0
2674,3,1.2,1,8.6,0,0,0,5858,0.048,2,0
2957,4,3.5,3,19.7,0,830,259,5636,0.208,1,1
2301,3,2.7,1,10.7,0,944,450,2000,0.031,2,0
1328,2,1.3,3,4.9,0,307,450,2743,0.02,2,0
2608,3,2.9,2,23.4,0,537,1083,6643,0.238,2,1
2823,4,3.3,1,26.5,0,795,103,4029,0.025,1,1
2482,3,2.8,1,17.4,0,907,208,9589,0.228,2,0
3067,5,5.0,1,15.2,0,1034,661,3597,0.041,2,0
3089,4,3.4,1,11.8,0,1036,764,4436,0.028,1,1
2247,3,1.4,2,15.1,0,0,0,5666,0.08,2,1
2903,4,3.2,2,4.5,1,508,1050,5929,0.194,1,1
1274,2,1.0,1,3.9,0,61,381,2000,0.036,2,1
3703,5,4.7,1,16.1,0,0,0,8827,0.244,2,1
2716,4,4.1,2,3.7,0,241,802,3108,0.041,2,0
3485,5,4.7,1,24.7,0,0,0,8483,0.158,1,1
1941,2,1.6,2,6.5,0,534,370,6334,0.124,2,1
1674,2,1.1,2,15.8,0,469,377,4650,0.159,2,1
2295,2,2.2,1,3.3,0,0,0,4976,0.084,1,1
2030,3,2.8,2,11.9,0,0,0,2749,0.02,1,1
2372,3,2.5,2,14.9,0,0,0,2868,0.02,2,0
2423,3,2.5,1,9.0,0,442,1154,6354,0.118,2,0
1394,2,1.5,2,7.6,0,0,0,4328,0.027,1,0
1726,2,1.6,1,10.1,0,832,375,2295,0.158,1,1
2841,4,3.1,1,21.1,0,0,0,6082,0.153,2,0
2367,3,3.2,1,19.1,1,577,413,8832,0.128,1,0
3036,4,3.5,1,19.7,0,0,0,5278,0.149,1,0
1519,1,1.0,1,19.3,1,234,391,3899,0.056,2,1
2386,3,2.2,1,22.6,0,171,839,5533,0.128,2,0
3664,5,4.6,2,17.7,0,461,918,8677,0.14,1,0
2749,3,1.3,3,0.5,0,0,0,8995,0.196,1,0
1224,2,1.0,3,16.5,0,606,236,4952,0.128,2,0
2821,4,3.4,1,15.2,0,652,778,3956,0.076,1,0
2311,3,1.7,1,10.5,0,675,862,5069,0.161,1,1
2433,4,4.6,2,1.7,0,0,0,2000,0.097,1,1
1123,1,1.0,1,7.2,0,227,309,2000,0.122,1,1
2193,4,3.6,1,9.7,0,242,751,2000,0.02,1,0
1311,1,1.2,1,18.1,0,0,0,2000,0.058,1,0
2456,4,3.6,2,17.0,0,537,414,5547,0.205,1,0
1924,3,2.2,1,3.9,0,437,185,8254,0.163,2,1
1857,2,1.1,1,16.3,0,406,337,4668,0.166,1,1
1799,3,2.7,2,0.5,0,662,398,7132,0.172,1,1
2316,2,1.0,2,9.0,0,1098,170,2000,0.02,2,0
2934,4,3.3,2,11.9,0,1044,565,3511,0.054,2,1
4070,6,5.0,1,17.2,0,1288,635,6537,0.162,1,0
3260,4,3.2,3,10.2,0,868,938,5058,0.088,1,1
2276,3,2.4,1,15.9,0,209,1108,6520,0.205,2,0
1772,2,1.2,1,14.1,0,41,710,2000,0.081,1,0
2853,4,2.9,2,15.4,0,1655,198,3828,0.069,2,0
2749,4,4.0,1,16.6,0,1234,377,4095,0.027,2,1
1211,1,1.1,1,10.0,0,361,214,2000,0.051,1,0
3057,4,3.2,1,18.2,0,0,0,5220,0.213,1,0
1918,3,2.3,3,22.9,0,0,0,4635,0.161,2,0
2035,3,2.3,1,10.9,0,603,353,3545,0.132,1,0
2702,4,3.7,1,0.5,0,139,1516,5439,0.164,2,1
2291,3,1.9,1,16.6,0,311,1246,4943,0.202,2,0
2403,3,2.4,1,12.2,0,531,1104,3773,0.1,1,0
2346,2,1.5,1,15.4,1,0,0,3827,0.184,2,1
2382,3,2.7,1,6.4,0,271,485,4281,0.109,1,0
2847,4,2.0,2,8.8,0,0,0,5907,0.121,1,0
1485,2,1.6,2,12.4,0,0,0,2000,0.123,2,1
2595,3,2.6,1,10.8,0,0,0,2752,0.067,1,0
4096,6,5.0,1,11.6,0,1495,1154,8843,0.221,1,1
1802,2,1.1,2,8.6,0,0,0,2000,0.061,2,1
3499,5,4.1,2,11.1,0,1390,148,5565,0.162,1,0
3665,5,5.0,1,16.8,0,461,1138,6371,0.151,2,1
1843,2,1.0,3,15.8,0,522,194,2000,0.02,1,0
2412,3,3.2,2,3.2,0,1131,203,3154,0.109,1,1
2301,3,3.7,1,13.5,0,226,929,5715,0.146,2,0
2328,3,2.6,1,6.9,0,0,0,8120,0.171,1,0
1214,1,1.0,2,14.6,0,209,166,2000,0.02,1,1
1122,2,1.0,2,20.3,0,271,498,2000,0.08,2,0
1689,2,1.1,1,17.7,0,0,0,3537,0.035,2,0
1994,2,1.9,3,7.4,0,153,530,4180,0.067,1,0
2755,4,3.6,1,12.7,0,0,0,2186,0.02,2,1
2872,5,4.3,1,14.7,1,244,1109,5934,0.121,1,1
684,1,1.0,1,15.2,1,0,0,2000,0.093,2,0
2322,3,2.7,2,6.0,0,279,605,5653,0.13,1,0
3883,6,5.0,1,15.7,1,313,2125,5423,0.072,2,1
2340,3,2.4,1,14.2,0,260,752,4570,0.188,2,1
2894,4,3.4,3,5.3,0,668,364,4033,0.119,2,0
959,1,1.0,1,14.5,0,0,0,2480,0.02,2,0
2025,3,2.6,2,8.9,0,524,423,7402,0.186,1,1
4158,6,5.0,1,5.7,0,0,0,9929,0.215,1,0
2320,3,3.3,1,9.2,0,1142,333,3695,0.02,1,1
1662,2,1.0,2,5.3,0,0,0,3838,0.114,1,0
2561,3,2.7,1,7.0,0,421,1299,5489,0.096,1,1
3560,5,4.7,2,22.4,0,670,1286,4482,0.188,1,0
2121,3,2.2,1,2.9,0,852,421,8526,0.258,2,1
2792,4,2.9,2,17.5,0,630,607,6749,0.105,2,0
2881,4,2.7,1,15.3,0,466,753,7731,0.105,2,0
1736,2,1.2,1,22.7,0,0,0,2000,0.025,2,0
2700,3,2.6,3,26.0,0,0,0,2928,0.107,2,0
3406,4,3.3,1,11.0,0,1067,389,5775,0.166,2,0
2159,3,2.1,1,14.2,0,71,1028,4514,0.187,2,0
1394,2,1.0,1,12.5,1,291,138,2438,0.063,1,0
3337,5,4.6,1,4.3,0,1633,667,4603,0.034,1,1
3026,4,3.9,1,8.9,0,0,0,7547,0.156,2,0
3749,5,3.9,1,31.4,1,864,903,6314,0.082,1,0
977,1,1.0,1,15.0,0,0,0,4784,0.161,2,1
2025,3,1.5,2,1.1,1,844,0,3662,0.11,2,0
2414,3,2.1,1,16.4,0,739,949,4111,0.065,2,0
1887,2,1.8,1,19.4,0,135,517,3424,0.074,2,0
4410,6,4.8,1,17.0,0,655,1174,8610,0.266,2,1
1508,2,1.1,3,1.8,0,358,413,3595,0.15,2,1
2398,3,3.1,2,13.9,0,492,305,2483,0.047,1,1
1210,2,1.0,3,0.6,0,396,251,6140,0.12,2,1
1668,2,1.0,3,10.3,0,575,431,4874,0.162,2,1
1915,2,1.7,1,0.5,0,0,0,6497,0.117,1,1
2745,3,3.4,2,0.5,0,750,697,3063,0.026,2,1
2990,4,3.3,1,14.3,1,556,501,6793,0.168,2,1
2227,3,2.8,2,19.7,0,15,796,6343,0.139,1,0
1878,3,3.1,3,11.2,0,621,232,6721,0.131,2,1
1168,1,1.0,2,16.8,0,175,488,2000,0.132,2,0
2489,3,2.3,2,25.2,0,0,0,3194,0.067,2,0
2604,3,2.0,2,4.9,0,959,480,4511,0.091,2,1
1772,2,1.0,1,16.4,0,181,512,4261,0.081,1,1
2013,3,3.0,3,20.8,0,0,0,2000,0.053,2,1
2466,3,2.5,1,13.3,0,175,979,7383,0.156,2,1
3406,4,4.1,1,14.8,0,0,0,4798,0.112,1,0
1021,1,1.0,1,15.5,0,0,0,2000,0.02,2,0
3259,5,4.1,2,8.9,0,1069,107,6825,0.099,1,0
1001,1,1.0,1,20.8,0,598,72,2000,0.122,2,0
1696,2,1.6,2,3.1,0,374,571,3513,0.133,2,0
2742,4,3.1,1,9.2,0,1191,556,5198,0.177,2,0
1311,1,1.0,1,12.9,0,281,349,5412,0.118,1,1
3029,4,3.0,2,18.6,0,0,0,7391,0.109,2,0
3999,6,5.0,3,4.3,0,882,976,7795,0.227,2,1
3494,5,4.3,1,18.5,0,596,888,4293,0.142,2,1
2438,4,3.9,2,11.2,0,365,545,3967,0.05,1,1
3596,5,4.6,3,19.1,0,2311,90,6258,0.282,1,1
1881,3,3.0,1,27.2,0,0,0,2000,0.075,2,0
3416,5,3.8,1,18.6,0,986,1154,8394,0.234,2,1
2161,3,1.9,1,14.3,0,0,0,2000,0.02,1,0
3639,5,4.4,1,14.5,0,1707,676,4491,0.207,1,1
1566,2,2.5,1,16.5,0,299,309,2000,0.054,1,0
3485,5,4.7,1,16.3,0,72,1026,4669,0.136,2,1
3348,4,2.9,1,6.1,0,0,0,5896,0.131,1,1
2429,4,3.4,2,13.7,0,1045,176,2000,0.069,2,1
1733,2,1.5,2,15.9,0,472,249,2725,0.02,1,0
2559,3,2.1,2,5.4,0,282,1296,4549,0.148,1,0
911,1,1.0,1,11.2,0,118,268,2569,0.082,1,0
2906,4,3.3,1,2.3,0,1501,39,6338,0.067,1,1
691,1,1.0,1,0.5,0,166,250,2000,0.102,1,0
1217,2,2.0,2,10.6,0,0,0,3111,0.071,2,0
1916,2,1.0,2,9.7,0,346,324,3288,0.151,1,0
3401,5,3.9,2,22.7,0,0,0,9533,0.182,1,0
1906,3,2.0,1,2.0,0,271,590,2337,0.02,2,0
2157,3,2.0,3,16.2,0,901,600,3180,0.086,2,0
2481,3,2.0,2,13.3,0,987,715,4963,0.137,1,0
1865,2,1.6,1,19.5,0,391,872,2203,0.148,1,1
2614,3,2.9,1,9.0,0,1000,699,7798,0.148,2,1
2748,4,3.9,2,16.2,0,770,393,6746,0.178,2,1
2111,3,1.9,2,5.1,0,81,1195,5608,0.182,1,1
2399,3,2.3,1,15.1,0,714,860,5854,0.146,1,0
2600,3,2.6,2,13.0,0,0,0,6638,0.164,2,1
3387,5,4.5,2,8.6,0,928,1296,5362,0.056,1,0
2587,3,3.1,2,20.0,0,684,728,6175,0.19,2,0
3399,5,4.1,1,12.9,0,463,1505,4644,0.105,1,0
2911,3,2.5,1,16.9,0,0,0,3937,0.206,2,0
1784,3,2.2,2,22.9,0,0,0,4322,0.161,1,0
1560,1,1.0,1,21.2,0,603,386,3024,0.045,2,0
1850,3,1.9,1,19.5,1,0,0,4206,0.067,1,0
3866,5,3.9,1,10.6,0,702,1308,6585,0.087,2,0
1725,2,1.0,2,14.4,0,308,419,2000,0.045,2,0
1563,2,1.1,1,15.9,0,175,788,2410,0.107,2,0
2027,3,3.2,1,18.0,0,0,0,4174,0.121,1,0
2021,3,3.0,3,16.1,0,0,0,3363,0.14,1,1
3704,5,4.3,1,8.1,0,0,1813,9065,0.178,2,1
1238,1,1.0,1,10.3,0,188,388,2000,0.103,2,1
3443,5,3.6,1,10.6,0,520,1551,3685,0.082,2,1
2892,4,3.3,3,9.4,0,1297,13,6643,0.216,1,0
3238,5,4.5,1,17.4,0,0,0,8802,0.127,1,0
2860,4,4.0,2,0.5,0,678,540,6638,0.118,1,1
3165,4,3.6,1,7.7,0,921,960,8033,0.15,1,1
2027,3,2.6,1,9.8,0,560,368,2370,0.094,1,1
2456,3,2.5,1,20.8,0,0,0,5577,0.049,2,0
2161,3,2.5,1,5.1,0,776,316,5482,0.12,2,1
2441,4,2.7,2,15.6,0,684,977,4781,0.167,2,0
2618,3,2.2,2,12.8,0,436,494,2743,0.099,1,1
1287,2,2.1,1,7.4,0,524,314,2795,0.066,2,0
3360,5,4.8,1,26.5,0,500,1654,9461,0.293,2,0
3820,5,4.6,1,17.0,0,0,0,6650,0.174,2,1
2063,3,2.4,3,8.5,0,466,704,8400,0.207,2,1
3182,4,3.7,1,20.3,0,828,1240,6002,0.124,2,1
2165,3,1.9,1,12.3,0,705,257,5065,0.207,2,0
1671,2,1.0,3,3.7,0,0,0,2000,0.126,1,0
2865,3,2.2,3,0.5,0,0,0,2000,0.064,2,1
2640,3,2.7,1,16.6,0,0,0,7099,0.182,1,1
3525,5,4.5,1,14.9,0,0,0,8264,0.2,2,1
2703,4,3.9,1,5.8,0,0,0,2000,0.049,1,1
2908,4,3.6,1,1.6,0,245,807,5359,0.116,2,1
3994,5,4.4,3,6.8,0,643,1489,7166,0.191,1,0
2951,3,3.1,1,8.4,0,1055,790,7675,0.14,2,1
1514,2,2.0,1,15.2,0,330,601,4430,0.063,2,0
2133,2,1.4,1,13.9,0,0,0,2336,0.02,2,0
1826,3,1.8,2,9.1,0,0,0,5598,0.173,2,0
1876,2,1.0,1,0.5,1,376,320,3675,0.02,2,0
1812,2,1.3,1,3.4,0,658,292,3830,0.175,2,1
3212,4,3.2,1,23.2,0,127,1960,7337,0.139,2,0
2050,3,3.2,2,8.9,0,276,793,5822,0.073,1,1
2343,3,1.6,2,20.7,0,503,301,2000,0.044,1,0
1141,2,1.4,1,18.4,0,262,389,2000,0.02,2,0
2710,4,2.9,1,0.5,0,588,1303,2680,0.03,2,1
1694,2,1.5,2,17.4,0,0,0,4488,0.08,2,1
2358,3,2.6,1,4.7,0,0,0,9219,0.207,2,1
3737,4,3.2,1,5.5,0,1136,707,5255,0.02,1,1
2147,3,2.7,1,17.6,0,385,693,2630,0.081,1,0
2306,3,2.3,1,8.2,1,350,901,6057,0.108,2,1
1954,3,2.3,3,1.2,0,585,104,6232,0.046,1,0
2334,4,3.2,3,3.9,0,0,0,5715,0.136,2,1
3769,5,4.7,3,9.2,0,968,1396,8167,0.28,2,1
2571,3,2.5,2,16.7,0,169,1117,2236,0.02,2,1
1287,2,2.2,1,1.6,1,78,415,2000,0.036,2,1
2393,4,4.0,1,12.2,0,0,0,4631,0.111,1,1
2709,4,3.7,2,23.5,0,1059,289,8899,0.271,1,1
2200,2,1.0,1,2.7,0,286,983,4167,0.042,2,1
2453,4,2.7,1,8.3,0,351,563,4685,0.158,2,1
2504,3,2.9,1,8.6,0,0,0,4574,0.068,2,0
2939,4,3.2,1,5.3,0,0,0,3736,0.126,2,1
1609,2,1.5,1,17.7,0,192,339,7272,0.221,1,0
2118,3,2.1,2,11.2,0,745,398,2569,0.039,2,1
3573,5,4.7,2,11.4,0,964,1304,5279,0.059,2,1
2806,4,3.9,1,22.3,0,785,889,6273,0.159,1,0
2780,4,2.8,2,13.9,0,1710,55,3766,0.093,2,1
2837,4,3.0,1,11.5,0,1318,33,6501,0.09,2,1
2033,2,1.0,3,11.5,0,0,0,6908,0.177,1,1
2363,3,2.5,2,6.5,0,0,0,2328,0.05,1,1
2920,4,2.6,2,20.5,0,591,1013,5121,0.115,1,0
3314,4,3.2,1,8.8,0,0,0,5627,0.134,1,1
1019,1,1.0,2,12.2,0,298,37,2605,0.059,1,1
2129,2,2.4,2,0.5,0,57,688,5826,0.106,2,1
2097,3,2.6,3,16.5,0,1078,314,2162,0.08,1,0
3659,5,5.0,2,21.9,0,490,732,7400,0.117,2,0
2203,3,2.5,1,20.7,1,1075,97,3288,0.173,1,1
2279,3,2.6,2,4.7,0,0,0,5202,0.02,1,0
2107,3,2.3,1,16.2,1,0,0,2256,0.092,2,1
1611,2,1.2,1,12.4,0,270,374,2962,0.111,2,1
2089,3,3.0,1,7.7,0,552,558,5619,0.114,2,1
1820,2,1.6,1,15.7,0,0,0,3538,0.022,2,0
2652,4,3.6,1,16.7,0,289,1302,6723,0.158,1,1
2460,3,2.1,2,15.1,0,932,617,4555,0.056,1,1
3004,3,2.2,2,15.5,0,641,357,7685,0.16,2,0
3033,5,5.0,3,11.3,0,448,927,3871,0.044,2,1
1588,3,2.4,1,23.6,0,0,0,2000,0.095,2,0
3203,5,5.0,1,6.1,0,894,727,9747,0.22,2,1
1322,1,1.0,2,14.8,0,0,0,2779,0.122,2,0
2686,4,3.8,2,2.6,0,852,613,8633,0.196,2,1
2473,3,2.5,2,11.3,0,632,627,7712,0.089,2,1
2584,3,2.2,2,13.8,1,0,0,5737,0.14,2,1
1024,1,1.0,1,13.2,0,390,201,2000,0.116,2,1
1365,1,1.0,1,16.8,0,185,402,4052,0.087,2,0
1619,3,2.7,1,6.4,0,195,487,2000,0.02,2,0
3750,5,4.8,2,6.3,0,719,674,6295,0.128,1,1
3139,4,3.5,1,3.1,0,999,141,4420,0.045,2,1
2270,3,3.1,2,6.2,0,241,458,4007,0.139,2,1
3201,4,3.4,2,7.2,1,661,1539,6050,0.082,2,1
2132,2,1.3,1,6.0,0,0,0,2940,0.02,2,0
2279,2,1.6,2,2.4,0,0,0,2000,0.043,1,0
2882,3,2.8,2,14.3,0,154,1323,5516,0.19,1,1
3516,5,4.7,1,10.1,0,0,0,4320,0.051,2,1
2257,3,2.3,1,13.0,0,0,0,5551,0.116,1,1
2276,3,1.9,1,9.2,0,884,352,3062,0.047,2,0
2697,5,4.7,1,27.1,0,250,1131,2000,0.028,2,0
3109,4,3.0,2,0.5,0,0,0,3705,0.02,1,1
3004,3,2.0,3,7.8,0,0,0,6036,0.07,2,1
4269,6,5.0,1,1.4,0,959,728,9293,0.172,2,1
3673,6,5.0,1,16.9,0,525,1003,7919,0.196,2,1
2001,3,2.0,1,7.6,0,1088,141,2000,0.02,1,0
2618,4,2.8,2,13.9,0,0,0,7071,0.084,1,0
